transfer_values,mean,max,min,city1_ro,city2_ro,total_ro
0,3.999995500005,7.99999100001,0,7.99640358094,0,7.99640358094
0.1,11.4999870625,14.999983125,7.99999100001,7.355656405,18.9262665741,8.58466653818
0.188888888889,11.4999870625,14.999983125,7.99999100001,7.22416347242,16.7205353935,9.06823075914
0.277777777778,11.4999870625,14.999983125,7.99999100001,7.34013602754,15.6892617396,9.74194781236
0.366666666667,11.4999870625,14.999983125,7.99999100001,7.63576266531,18.3887876491,9.99944207976
0.455555555556,11.4999870625,14.999983125,7.99999100001,7.47084519255,20.6350463421,9.80164873066
0.544444444444,11.4999870625,14.999983125,7.99999100001,7.86882293974,15.1730078,10.3720731556
0.633333333333,11.4999870625,14.999983125,7.99999100001,7.22706363618,16.2050300887,9.45628753328
0.722222222222,11.4999870625,14.999983125,7.99999100001,7.69627231821,23.3981047725,10.1279962555
0.811111111111,11.4999870625,14.999983125,7.99999100001,7.54167033132,16.230828443,9.82143159261
0.9,11.4999870625,14.999983125,7.99999100001,7.6089459679,19.4045769153,9.89194144226
