tr_val,total_ro,std_ro
0,1.817504,0.0332585534803
0.1,1.4459734,0.0400834098305
0.2,1.3660335,0.0416373709791
0.3,1.3568642,0.0509234110224
0.4,1.3045833,0.0415020647994
