tr_val,total_r0,std
0,1.36745961,0.031797967552
0.1,1.44118339,0.127525569498
0.2,1.47578857,0.147061996214
0.3,1.47536649,0.163606775553
0.4,1.43636966,0.169216482649
0.5,1.48501203,0.219765505096
0.6,1.49045728,0.215820940448
0.7,1.4740628,0.201097313735
0.8,1.44654154,0.199718996584
