transfer_values,mean,max,min,city1_ro,city2_ro,total_ro
0,7.4999915625,14.999983125,0,0,14.6899498237,14.6899498237
0.1,11.4999870625,14.999983125,7.99999100001,20.551371048,13.2101574584,13.9124812036
0.188888888889,11.4999870625,14.999983125,7.99999100001,20.5969807089,12.4454526308,13.1633191903
0.277777777778,11.4999870625,14.999983125,7.99999100001,21.998982182,12.4904370322,13.3819601407
0.366666666667,11.4999870625,14.999983125,7.99999100001,19.5425318327,12.2111747587,13.4169196361
0.455555555556,11.4999870625,14.999983125,7.99999100001,22.4755766343,11.8012142761,13.2223879218
0.544444444444,11.4999870625,14.999983125,7.99999100001,20.9109863351,11.644416778,12.7911435434
0.633333333333,11.4999870625,14.999983125,7.99999100001,22.1456070649,11.5574221522,13.1422438029
0.722222222222,11.4999870625,14.999983125,7.99999100001,15.0092760509,11.1849669957,12.7121409823
0.811111111111,11.4999870625,14.999983125,7.99999100001,22.2028708392,11.3028151544,12.9599826234
0.9,11.4999870625,14.999983125,7.99999100001,20.5839602523,11.0137429145,12.7756267092
